num,id,name,year,rank,average,bayes_average,users_rated,url,thumbnail
361,124708,Mice and Mystics,2012,362,7.29,7.057,17612,/boardgame/124708/mice-and-mystics,https://cf.geekdo-images.com/pZFrbWXBzrkxqOotg05D9Q__micro/img/0TXWSNqt7m9GE3FnvhYGcrCSBsQ=/fit-in/64x64/filters:strip_icc()/pic1312072.jpg
92,205896,Rising Sun,2018,93,7.84,7.538,17498,/boardgame/205896/rising-sun,https://cf.geekdo-images.com/iwevA6XmiNLHn1QnGUucqw__micro/img/CGB3Ihk0wWICh8wG6_Wp2pbGoCk=/fit-in/64x64/filters:strip_icc()/pic3880340.jpg
170,171131,Captain Sonar,2016,171,7.55,7.342,17423,/boardgame/171131/captain-sonar,https://cf.geekdo-images.com/eVy9IyAVtzzKv2VvPHFPbA__micro/img/HAHURwXhFgjHGTMBGw3vJqd7A7k=/fit-in/64x64/filters:strip_icc()/pic3013621.png
135,244522,That's Pretty Clever!,2018,136,7.62,7.41,17383,/boardgame/244522/s-pretty-clever,https://cf.geekdo-images.com/3-unuy5JW1cC8C6EUBNiOA__micro/img/paSoM8bH12xJsE0csH_LrUq0JU8=/fit-in/64x64/filters:strip_icc()/pic4410877.jpg
525,113924,Zombicide,2012,526,7.14,6.883,17279,/boardgame/113924/zombicide,https://cf.geekdo-images.com/ZqjfzvtaTIT5FYp1D2CfKw__micro/img/MtYzGk2vrPLqxP5GM8dt5G76YnM=/fit-in/64x64/filters:strip_icc()/pic1196191.jpg
545,209778,Magic Maze,2017,546,7.02,6.854,17263,/boardgame/209778/magic-maze,https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__micro/img/wPo47UfrkY_CLaO0fihpBdc6tss=/fit-in/64x64/filters:strip_icc()/pic3268473.jpg
264,160477,Onitama,2014,265,7.39,7.181,17194,/boardgame/160477/onitama,https://cf.geekdo-images.com/FZdihu8SibqQYtwfo77BdQ__micro/img/cPoTcxxTscaeGhG2ebALfI4QPdU=/fit-in/64x64/filters:strip_icc()/pic5032361.jpg
849,25669,Qwirkle,2006,850,6.78,6.633,17192,/boardgame/25669/qwirkle,https://cf.geekdo-images.com/k7zHj8j_a6uUAtXUt5Fvuw__micro/img/hqcmNqqB2ItF8njCrTm1wCkQcwA=/fit-in/64x64/filters:strip_icc()/pic309353.jpg
111,127023,Kemet,2012,112,7.7,7.472,17188,/boardgame/127023/kemet,https://cf.geekdo-images.com/RmZjhy7_6REp8IaXh9Zqwg__micro/img/JhmgQqmj1m5K7EKHBExVgFHKUf4=/fit-in/64x64/filters:strip_icc()/pic3979527.jpg
526,28023,Jamaica,2007,527,7.06,6.883,17111,/boardgame/28023/jamaica,https://cf.geekdo-images.com/jZRfv3isrBG5waCzEx60Cw__micro/img/EU7d-yPXqtVCLzkW_MU3uMHERdU=/fit-in/64x64/filters:strip_icc()/pic6434838.png
286,163967,Tiny Epic Galaxies,2015,287,7.36,7.149,17107,/boardgame/163967/tiny-epic-galaxies,https://cf.geekdo-images.com/c_87h8o0AOrfCO3hxMjjrA__micro/img/3StPmJGPf7TzK52lGa3wnhXM3jE=/fit-in/64x64/filters:strip_icc()/pic2349732.jpg
173,239188,Chronicles of Crime,2018,174,7.73,7.338,17103,/boardgame/239188/chronicles-crime,https://cf.geekdo-images.com/1BMyuEwK0zV9005oYinYLw__micro/img/MZt1YCfdLXYetxeg7tZQaVOok1M=/fit-in/64x64/filters:strip_icc()/pic4317519.jpg
126,118048,Targi,2012,127,7.64,7.433,16975,/boardgame/118048/targi,https://cf.geekdo-images.com/wHg4fOf48cs1kw1PDOk1tQ__micro/img/I3v-kbkcehXvBeP_3-qbaW9U8co=/fit-in/64x64/filters:strip_icc()/pic3958793.jpg
362,194594,Dice Forge,2017,363,7.27,7.055,16942,/boardgame/194594/dice-forge,https://cf.geekdo-images.com/4BTVGQWO0M9ayxyku3FW6Q__micro/img/kp9DQn-4JnTGYyNIpAyADkQpY_o=/fit-in/64x64/filters:strip_icc()/pic3477004.jpg
33,312484,Lost Ruins of Arnak,2020,34,8.11,7.819,16860,/boardgame/312484/lost-ruins-arnak,https://cf.geekdo-images.com/6GqH14TJJhza86BX5HCLEQ__micro/img/2FKVaukjh9a-Kg9LWQuMSvLS34s=/fit-in/64x64/filters:strip_icc()/pic5674958.jpg
2181,62871,Zombie Dice,2010,2182,6.22,6.083,16809,/boardgame/62871/zombie-dice,https://cf.geekdo-images.com/iPy584JMAJYrupqRdQp8gA__micro/img/AFCdQ1XdtisN2KJy2LBCtHslQKg=/fit-in/64x64/filters:strip_icc()/pic4991962.jpg
322,24480,The Pillars of the Earth,2006,323,7.28,7.094,16786,/boardgame/24480/pillars-earth,https://cf.geekdo-images.com/J897fuu-nl83_o90uOakVQ__micro/img/2PBBStEkPAnWkVAXDqJDUWuEUNY=/fit-in/64x64/filters:strip_icc()/pic3691155.jpg
824,147151,Concept,2013,825,6.8,6.656,16763,/boardgame/147151/concept,https://cf.geekdo-images.com/hHFs0_KRoW_FJ0cMIVgZcw__micro/img/3LlKd32m_a_24y140cCMYergqfs=/fit-in/64x64/filters:strip_icc()/pic4991925.jpg
51,216132,Clans of Caledonia,2017,52,7.99,7.723,16721,/boardgame/216132/clans-caledonia,https://cf.geekdo-images.com/SPuwc6RJ6y4PnTH36Pegsg__micro/img/wWI0kOjt4L4TOOV_Dn2BLthq5QQ=/fit-in/64x64/filters:strip_icc()/pic3511783.png
110,263918,Cartographers,2019,111,7.72,7.477,16702,/boardgame/263918/cartographers,https://cf.geekdo-images.com/GifbnAmsA4lfEcDkeaC9VA__micro/img/-B-yH3o3CkeAA2xqNYdQNdX8YFc=/fit-in/64x64/filters:strip_icc()/pic4397932.png
